Market,1761.640015,2018.050049,2018.050049,1741.890015,14.555189018001503%,1890.08,34.445378838223846,1.8224296769567345,1.0,1.0,1.0,1.0,0.05656537435565644,0.51853750382277,-0.5261021763235858
BAC,14.02,17.16,17.92,13.8,22.396576319543513%,15.99,1.1270686854164484,7.048584649258589,1.2110851756,1.22909588629,1.37147909487,0.607119783444,0.0901515670297312,0.6131742449468303,-0.5695166753882315
T,36.240002,34.84,36.740002,31.860001,-3.8631399634028543%,34.69,1.2567377564640598,3.622766666082617,0.573377730976,0.511347747019,0.669382345167,0.453798910304,-0.011833117923717738,0.24247732708223835,-0.3325850305438427
MO,37.330002,48.34,48.34,34.0,29.493697857289167%,40.1,1.5244443229518745,3.8016067904036768,0.618041793706,0.728920645988,0.541446501955,0.480299327989,0.10702131136411783,0.3914885214281678,-0.25176616078873815
DAL,26.700001,40.23,42.23,26.68,50.67415166014412%,34.76,2.5550095291158765,7.35043017582243,1.7027491634,1.3992148585,2.09256844973,0.560426838135,0.18564086403332383,0.9373128293882753,-0.7624138670449944
AA,22.27581,40.274281,41.523842,21.434759,80.79827849133208%,32.06,1.8431735969044114,5.749137856844701,1.44068152057,1.39653277126,1.85907596513,0.520809199908,0.25455318757801526,0.8390709658177632,-0.4826764426342798
AXP,82.160004,89.949997,95.839996,80.239998,9.481490531572996%,88.58,3.68421974591693,4.159200435670502,1.31786284037,1.41531485584,1.45017698752,0.829292549956,0.042179932017007066,0.6081505297409291,-0.6716568579050567
ABT,36.959999,43.59,43.689999,35.849998,17.93831487928341%,39.84,1.0128532883621797,2.5423024306279607,0.899792630042,1.23990430011,0.887692250598,0.647836449014,0.07039329711530232,0.4360522503963273,-0.390798175491396
AIG,48.279999,53.57,56.330002,46.880001,10.956920276655358%,51.9,1.7630306457648184,3.396976196078648,1.23919471681,1.18751241786,1.12888767449,0.76045494133,0.04783538731052725,0.6514594944551727,-0.7134923153944309
ALL,53.279999,64.849998,64.849998,49.549999,21.715463996161116%,57.03,1.258532004689744,2.2067894173062315,0.764704656455,1.02542232677,0.552683654854,0.60473840115,0.08214521460257397,0.43964874890664574,-0.36876014397913826
ACN,73.0,81.120003,85.400002,72.709999,11.123291780821914%,80.01,3.216413557392368,4.0200144449348425,0.894665750147,0.814387392597,0.986759733387,0.605074250811,0.04729611850659703,0.45367399682825715,-0.46525255685405525
MT,47.459999,39.48,53.52,36.060001,-16.81415753927851%,46.38,2.1105434433356836,4.550546449624155,1.07476369109,1.34078023566,0.985290358402,0.470265920965,-0.060702493359448585,0.4134866828470093,-0.6587789318180444
LLY,50.380001,66.330002,66.800003,49.189999,31.659390002790975%,58.6,1.642338655016199,2.802625691153923,0.767755259655,0.710725679985,0.900926062382,0.514771941633,0.11497226416919612,0.4505023203450646,-0.3082187976742418
AGN,158.119995,242.740005,248.0,154.410004,53.51632473805733%,204.43,11.158397827399952,5.4582976213862695,1.36074216628,1.58350653875,1.51815218471,0.560911786047,0.18506967715792227,0.746213501504796,-0.5226792904867832
APA,89.239998,77.199997,103.480003,72.669998,-13.491709177313075%,89.34,9.502031132368437,10.63580829680819,0.997178879563,1.0507938354,1.01260461435,0.543097875877,-0.04957771412660631,0.3995661449185148,-0.6160654642736056
APC,94.389999,91.779999,112.690002,78.169998,-2.7651234533861997%,95.13,11.569373622475387,12.161645771549866,1.18052457879,0.828992736966,1.46814942425,0.450913380512,0.005026864242970445,0.5443232789578969,-0.6751668119740535
NLY,11.79,11.41,11.92,9.74,-3.2230703986429097%,11.1,0.6333648597447685,5.705989727430348,-0.00609410604779,0.0472861792345,-0.314056602703,-0.0035616691286,-0.00596903607767444,0.047636052117626594,-0.07357905722490096
ABX,18.01,11.87,21.23,11.87,-34.09217101610218%,17.56,1.900499414976225,10.822889606926111,0.289966243291,-0.219836086146,0.116330200571,0.103756415599,-0.14715993509078218,0.10204395977411997,-0.4614711538393077
ADM,40.900002,47.0,52.060001,38.23,14.914419808585826%,44.52,2.181191080942461,4.899351035360424,0.857089205033,0.886304582774,0.884487830165,0.467839525594,0.06349412763590238,0.4491769756508529,-0.4229527076982695
LUV,17.469999,34.48,35.23,17.469999,97.36692600841016%,25.31,1.0591065931501082,4.184538100158468,1.46281744503,1.08170342433,1.70731202082,0.61769580981,0.28471261086275296,0.9680491532821317,-0.5771532984950224
AET,62.610001,82.510002,84.940002,62.560001,31.784061143841864%,74.59,3.0600417165513236,4.102482526546888,1.04547737757,0.921124249394,0.968002226843,0.534570818009,0.11920203215364378,0.6376702880523875,-0.5347218942051324
AEP,47.040001,58.34,58.34,45.779999,24.022106207013064%,51.01,1.6349412391230558,3.2051386769712913,0.46970523514,0.477543192052,0.419028765698,0.329734295365,0.09069657041186768,0.3171176946553276,-0.19487962232763148
DB,45.734734,31.32,51.898853,29.860001,-31.518132367403737%,40.03,2.150430766588676,5.372047880561269,1.32379417623,1.38254081154,1.20063001166,0.618496751511,-0.13964945570964818,0.48869136012229547,-0.9321513855877752
AEM,28.9,23.5,42.119999,23.5,-18.685121107266433%,32.04,5.263324596375828,16.42735516971232,-0.00697609672307,-0.598691587489,-0.180718254731,-0.00175222972595,-0.04396015960031874,0.08074586482506599,-0.2012470372539571
APD,99.907494,124.569839,126.105461,95.975945,24.685180272863214%,111.86,3.747968583614062,3.350588757030272,1.14110260685,1.03769110956,1.23231471641,0.619121228486,0.09604280947509874,0.6200278497370201,-0.5648392232876854
